"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
194,194,20,9,33,"C20Cl9H33","CPs"
195,195,21,9,35,"C21Cl9H35","CPs"
196,196,22,9,37,"C22Cl9H37","CPs"
197,197,23,9,39,"C23Cl9H39","CPs"
198,198,24,9,41,"C24Cl9H41","CPs"
199,199,25,9,43,"C25Cl9H43","CPs"
200,200,26,9,45,"C26Cl9H45","CPs"
201,201,27,9,47,"C27Cl9H47","CPs"
202,202,28,9,49,"C28Cl9H49","CPs"
203,203,29,9,51,"C29Cl9H51","CPs"
204,204,30,9,53,"C30Cl9H53","CPs"
205,205,31,9,55,"C31Cl9H55","CPs"
206,206,32,9,57,"C32Cl9H57","CPs"
207,207,33,9,59,"C33Cl9H59","CPs"
208,208,34,9,61,"C34Cl9H61","CPs"
209,209,35,9,63,"C35Cl9H63","CPs"
210,210,36,9,65,"C36Cl9H65","CPs"
211,211,7,10,6,"C7Cl10H6","CPs"
212,212,8,10,8,"C8Cl10H8","CPs"
213,213,9,10,10,"C9Cl10H10","CPs"
214,214,10,10,12,"C10Cl10H12","CPs"
215,215,11,10,14,"C11Cl10H14","CPs"
216,216,12,10,16,"C12Cl10H16","CPs"
217,217,13,10,18,"C13Cl10H18","CPs"
218,218,14,10,20,"C14Cl10H20","CPs"
219,219,15,10,22,"C15Cl10H22","CPs"
220,220,16,10,24,"C16Cl10H24","CPs"
221,221,17,10,26,"C17Cl10H26","CPs"
222,222,18,10,28,"C18Cl10H28","CPs"
223,223,19,10,30,"C19Cl10H30","CPs"
224,224,20,10,32,"C20Cl10H32","CPs"
225,225,21,10,34,"C21Cl10H34","CPs"
226,226,22,10,36,"C22Cl10H36","CPs"
227,227,23,10,38,"C23Cl10H38","CPs"
228,228,24,10,40,"C24Cl10H40","CPs"
229,229,25,10,42,"C25Cl10H42","CPs"
230,230,26,10,44,"C26Cl10H44","CPs"
231,231,27,10,46,"C27Cl10H46","CPs"
232,232,28,10,48,"C28Cl10H48","CPs"
233,233,29,10,50,"C29Cl10H50","CPs"
234,234,30,10,52,"C30Cl10H52","CPs"
235,235,31,10,54,"C31Cl10H54","CPs"
236,236,32,10,56,"C32Cl10H56","CPs"
237,237,33,10,58,"C33Cl10H58","CPs"
238,238,34,10,60,"C34Cl10H60","CPs"
239,239,35,10,62,"C35Cl10H62","CPs"
240,240,36,10,64,"C36Cl10H64","CPs"
241,241,7,11,5,"C7Cl11H5","CPs"
242,242,8,11,7,"C8Cl11H7","CPs"
243,243,9,11,9,"C9Cl11H9","CPs"
244,244,10,11,11,"C10Cl11H11","CPs"
245,245,11,11,13,"C11Cl11H13","CPs"
246,246,12,11,15,"C12Cl11H15","CPs"
247,247,13,11,17,"C13Cl11H17","CPs"
248,248,14,11,19,"C14Cl11H19","CPs"
249,249,15,11,21,"C15Cl11H21","CPs"
250,250,16,11,23,"C16Cl11H23","CPs"
251,251,17,11,25,"C17Cl11H25","CPs"
252,252,18,11,27,"C18Cl11H27","CPs"
253,253,19,11,29,"C19Cl11H29","CPs"
254,254,20,11,31,"C20Cl11H31","CPs"
255,255,21,11,33,"C21Cl11H33","CPs"
256,256,22,11,35,"C22Cl11H35","CPs"
257,257,23,11,37,"C23Cl11H37","CPs"
258,258,24,11,39,"C24Cl11H39","CPs"
259,259,25,11,41,"C25Cl11H41","CPs"
260,260,26,11,43,"C26Cl11H43","CPs"
261,261,27,11,45,"C27Cl11H45","CPs"
262,262,28,11,47,"C28Cl11H47","CPs"
263,263,29,11,49,"C29Cl11H49","CPs"
264,264,30,11,51,"C30Cl11H51","CPs"
265,265,31,11,53,"C31Cl11H53","CPs"
266,266,32,11,55,"C32Cl11H55","CPs"
267,267,33,11,57,"C33Cl11H57","CPs"
268,268,34,11,59,"C34Cl11H59","CPs"
269,269,35,11,61,"C35Cl11H61","CPs"
270,270,36,11,63,"C36Cl11H63","CPs"
271,271,7,12,4,"C7Cl12H4","CPs"
272,272,8,12,6,"C8Cl12H6","CPs"
273,273,9,12,8,"C9Cl12H8","CPs"
274,274,10,12,10,"C10Cl12H10","CPs"
275,275,11,12,12,"C11Cl12H12","CPs"
276,276,12,12,14,"C12Cl12H14","CPs"
277,277,13,12,16,"C13Cl12H16","CPs"
278,278,14,12,18,"C14Cl12H18","CPs"
279,279,15,12,20,"C15Cl12H20","CPs"
280,280,16,12,22,"C16Cl12H22","CPs"
281,281,17,12,24,"C17Cl12H24","CPs"
282,282,18,12,26,"C18Cl12H26","CPs"
283,283,19,12,28,"C19Cl12H28","CPs"
284,284,20,12,30,"C20Cl12H30","CPs"
285,285,21,12,32,"C21Cl12H32","CPs"
286,286,22,12,34,"C22Cl12H34","CPs"
287,287,23,12,36,"C23Cl12H36","CPs"
288,288,24,12,38,"C24Cl12H38","CPs"
289,289,25,12,40,"C25Cl12H40","CPs"
290,290,26,12,42,"C26Cl12H42","CPs"
291,291,27,12,44,"C27Cl12H44","CPs"
292,292,28,12,46,"C28Cl12H46","CPs"
293,293,29,12,48,"C29Cl12H48","CPs"
294,294,30,12,50,"C30Cl12H50","CPs"
295,295,31,12,52,"C31Cl12H52","CPs"
296,296,32,12,54,"C32Cl12H54","CPs"
297,297,33,12,56,"C33Cl12H56","CPs"
298,298,34,12,58,"C34Cl12H58","CPs"
299,299,35,12,60,"C35Cl12H60","CPs"
300,300,36,12,62,"C36Cl12H62","CPs"
301,301,7,13,3,"C7Cl13H3","CPs"
302,302,8,13,5,"C8Cl13H5","CPs"
303,303,9,13,7,"C9Cl13H7","CPs"
304,304,10,13,9,"C10Cl13H9","CPs"
305,305,11,13,11,"C11Cl13H11","CPs"
306,306,12,13,13,"C12Cl13H13","CPs"
307,307,13,13,15,"C13Cl13H15","CPs"
308,308,14,13,17,"C14Cl13H17","CPs"
309,309,15,13,19,"C15Cl13H19","CPs"
310,310,16,13,21,"C16Cl13H21","CPs"
311,311,17,13,23,"C17Cl13H23","CPs"
312,312,18,13,25,"C18Cl13H25","CPs"
313,313,19,13,27,"C19Cl13H27","CPs"
314,314,20,13,29,"C20Cl13H29","CPs"
315,315,21,13,31,"C21Cl13H31","CPs"
316,316,22,13,33,"C22Cl13H33","CPs"
317,317,23,13,35,"C23Cl13H35","CPs"
318,318,24,13,37,"C24Cl13H37","CPs"
319,319,25,13,39,"C25Cl13H39","CPs"
320,320,26,13,41,"C26Cl13H41","CPs"
321,321,27,13,43,"C27Cl13H43","CPs"
322,322,28,13,45,"C28Cl13H45","CPs"
323,323,29,13,47,"C29Cl13H47","CPs"
324,324,30,13,49,"C30Cl13H49","CPs"
325,325,31,13,51,"C31Cl13H51","CPs"
326,326,32,13,53,"C32Cl13H53","CPs"
327,327,33,13,55,"C33Cl13H55","CPs"
328,328,34,13,57,"C34Cl13H57","CPs"
329,329,35,13,59,"C35Cl13H59","CPs"
330,330,36,13,61,"C36Cl13H61","CPs"
331,331,7,14,2,"C7Cl14H2","CPs"
332,332,8,14,4,"C8Cl14H4","CPs"
333,333,9,14,6,"C9Cl14H6","CPs"
334,334,10,14,8,"C10Cl14H8","CPs"
335,335,11,14,10,"C11Cl14H10","CPs"
336,336,12,14,12,"C12Cl14H12","CPs"
337,337,13,14,14,"C13Cl14H14","CPs"
338,338,14,14,16,"C14Cl14H16","CPs"
339,339,15,14,18,"C15Cl14H18","CPs"
340,340,16,14,20,"C16Cl14H20","CPs"
341,341,17,14,22,"C17Cl14H22","CPs"
342,342,18,14,24,"C18Cl14H24","CPs"
343,343,19,14,26,"C19Cl14H26","CPs"
344,344,20,14,28,"C20Cl14H28","CPs"
345,345,21,14,30,"C21Cl14H30","CPs"
346,346,22,14,32,"C22Cl14H32","CPs"
347,347,23,14,34,"C23Cl14H34","CPs"
348,348,24,14,36,"C24Cl14H36","CPs"
349,349,25,14,38,"C25Cl14H38","CPs"
350,350,26,14,40,"C26Cl14H40","CPs"
351,351,27,14,42,"C27Cl14H42","CPs"
352,352,28,14,44,"C28Cl14H44","CPs"
353,353,29,14,46,"C29Cl14H46","CPs"
354,354,30,14,48,"C30Cl14H48","CPs"
355,355,31,14,50,"C31Cl14H50","CPs"
356,356,32,14,52,"C32Cl14H52","CPs"
357,357,33,14,54,"C33Cl14H54","CPs"
358,358,34,14,56,"C34Cl14H56","CPs"
359,359,35,14,58,"C35Cl14H58","CPs"
360,360,36,14,60,"C36Cl14H60","CPs"
361,361,7,15,1,"C7Cl15H1","CPs"
362,362,8,15,3,"C8Cl15H3","CPs"
363,363,9,15,5,"C9Cl15H5","CPs"
364,364,10,15,7,"C10Cl15H7","CPs"
365,365,11,15,9,"C11Cl15H9","CPs"
366,366,12,15,11,"C12Cl15H11","CPs"
367,367,13,15,13,"C13Cl15H13","CPs"
368,368,14,15,15,"C14Cl15H15","CPs"
369,369,15,15,17,"C15Cl15H17","CPs"
370,370,16,15,19,"C16Cl15H19","CPs"
371,371,17,15,21,"C17Cl15H21","CPs"
372,372,18,15,23,"C18Cl15H23","CPs"
373,373,19,15,25,"C19Cl15H25","CPs"
374,374,20,15,27,"C20Cl15H27","CPs"
375,375,21,15,29,"C21Cl15H29","CPs"
376,376,22,15,31,"C22Cl15H31","CPs"
377,377,23,15,33,"C23Cl15H33","CPs"
378,378,24,15,35,"C24Cl15H35","CPs"
379,379,25,15,37,"C25Cl15H37","CPs"
380,380,26,15,39,"C26Cl15H39","CPs"
381,381,27,15,41,"C27Cl15H41","CPs"
382,382,28,15,43,"C28Cl15H43","CPs"
383,383,29,15,45,"C29Cl15H45","CPs"
384,384,30,15,47,"C30Cl15H47","CPs"
385,385,31,15,49,"C31Cl15H49","CPs"
386,386,32,15,51,"C32Cl15H51","CPs"
387,387,33,15,53,"C33Cl15H53","CPs"
388,388,34,15,55,"C34Cl15H55","CPs"
389,389,35,15,57,"C35Cl15H57","CPs"
390,390,36,15,59,"C36Cl15H59","CPs"
391,391,8,16,2,"C8Cl16H2","CPs"
392,392,9,16,4,"C9Cl16H4","CPs"
393,393,10,16,6,"C10Cl16H6","CPs"
