"chloroparaffin","chloroparaffin","C","Cl","H","formula","chemical_type"
1114,1114,15,14,16,"C15Cl14H16","COs"
1115,1115,16,14,18,"C16Cl14H18","COs"
1116,1116,17,14,20,"C17Cl14H20","COs"
1117,1117,18,14,22,"C18Cl14H22","COs"
1118,1118,19,14,24,"C19Cl14H24","COs"
1119,1119,20,14,26,"C20Cl14H26","COs"
1120,1120,21,14,28,"C21Cl14H28","COs"
1121,1121,22,14,30,"C22Cl14H30","COs"
1122,1122,23,14,32,"C23Cl14H32","COs"
1123,1123,24,14,34,"C24Cl14H34","COs"
1124,1124,25,14,36,"C25Cl14H36","COs"
1125,1125,26,14,38,"C26Cl14H38","COs"
1126,1126,27,14,40,"C27Cl14H40","COs"
1127,1127,28,14,42,"C28Cl14H42","COs"
1128,1128,29,14,44,"C29Cl14H44","COs"
1129,1129,30,14,46,"C30Cl14H46","COs"
1130,1130,31,14,48,"C31Cl14H48","COs"
1131,1131,32,14,50,"C32Cl14H50","COs"
1132,1132,33,14,52,"C33Cl14H52","COs"
1133,1133,34,14,54,"C34Cl14H54","COs"
1134,1134,35,14,56,"C35Cl14H56","COs"
1135,1135,36,14,58,"C36Cl14H58","COs"
1136,1136,8,15,1,"C8Cl15H1","COs"
1137,1137,9,15,3,"C9Cl15H3","COs"
1138,1138,10,15,5,"C10Cl15H5","COs"
1139,1139,11,15,7,"C11Cl15H7","COs"
1140,1140,12,15,9,"C12Cl15H9","COs"
1141,1141,13,15,11,"C13Cl15H11","COs"
1142,1142,14,15,13,"C14Cl15H13","COs"
1143,1143,15,15,15,"C15Cl15H15","COs"
1144,1144,16,15,17,"C16Cl15H17","COs"
1145,1145,17,15,19,"C17Cl15H19","COs"
1146,1146,18,15,21,"C18Cl15H21","COs"
1147,1147,19,15,23,"C19Cl15H23","COs"
1148,1148,20,15,25,"C20Cl15H25","COs"
1149,1149,21,15,27,"C21Cl15H27","COs"
1150,1150,22,15,29,"C22Cl15H29","COs"
1151,1151,23,15,31,"C23Cl15H31","COs"
1152,1152,24,15,33,"C24Cl15H33","COs"
1153,1153,25,15,35,"C25Cl15H35","COs"
1154,1154,26,15,37,"C26Cl15H37","COs"
1155,1155,27,15,39,"C27Cl15H39","COs"
1156,1156,28,15,41,"C28Cl15H41","COs"
1157,1157,29,15,43,"C29Cl15H43","COs"
1158,1158,30,15,45,"C30Cl15H45","COs"
1159,1159,31,15,47,"C31Cl15H47","COs"
1160,1160,32,15,49,"C32Cl15H49","COs"
1161,1161,33,15,51,"C33Cl15H51","COs"
1162,1162,34,15,53,"C34Cl15H53","COs"
1163,1163,35,15,55,"C35Cl15H55","COs"
1164,1164,36,15,57,"C36Cl15H57","COs"
1165,1165,9,16,2,"C9Cl16H2","COs"
1166,1166,10,16,4,"C10Cl16H4","COs"
1167,1167,11,16,6,"C11Cl16H6","COs"
1168,1168,12,16,8,"C12Cl16H8","COs"
1169,1169,13,16,10,"C13Cl16H10","COs"
1170,1170,14,16,12,"C14Cl16H12","COs"
1171,1171,15,16,14,"C15Cl16H14","COs"
1172,1172,16,16,16,"C16Cl16H16","COs"
1173,1173,17,16,18,"C17Cl16H18","COs"
1174,1174,18,16,20,"C18Cl16H20","COs"
1175,1175,19,16,22,"C19Cl16H22","COs"
1176,1176,20,16,24,"C20Cl16H24","COs"
1177,1177,21,16,26,"C21Cl16H26","COs"
1178,1178,22,16,28,"C22Cl16H28","COs"
1179,1179,23,16,30,"C23Cl16H30","COs"
1180,1180,24,16,32,"C24Cl16H32","COs"
1181,1181,25,16,34,"C25Cl16H34","COs"
1182,1182,26,16,36,"C26Cl16H36","COs"
1183,1183,27,16,38,"C27Cl16H38","COs"
1184,1184,28,16,40,"C28Cl16H40","COs"
1185,1185,29,16,42,"C29Cl16H42","COs"
1186,1186,30,16,44,"C30Cl16H44","COs"
1187,1187,31,16,46,"C31Cl16H46","COs"
1188,1188,32,16,48,"C32Cl16H48","COs"
1189,1189,33,16,50,"C33Cl16H50","COs"
1190,1190,34,16,52,"C34Cl16H52","COs"
1191,1191,35,16,54,"C35Cl16H54","COs"
1192,1192,36,16,56,"C36Cl16H56","COs"
1193,1193,9,17,1,"C9Cl17H1","COs"
1194,1194,10,17,3,"C10Cl17H3","COs"
1195,1195,11,17,5,"C11Cl17H5","COs"
1196,1196,12,17,7,"C12Cl17H7","COs"
1197,1197,13,17,9,"C13Cl17H9","COs"
1198,1198,14,17,11,"C14Cl17H11","COs"
1199,1199,15,17,13,"C15Cl17H13","COs"
1200,1200,16,17,15,"C16Cl17H15","COs"
1201,1201,17,17,17,"C17Cl17H17","COs"
1202,1202,18,17,19,"C18Cl17H19","COs"
1203,1203,19,17,21,"C19Cl17H21","COs"
1204,1204,20,17,23,"C20Cl17H23","COs"
1205,1205,21,17,25,"C21Cl17H25","COs"
1206,1206,22,17,27,"C22Cl17H27","COs"
1207,1207,23,17,29,"C23Cl17H29","COs"
1208,1208,24,17,31,"C24Cl17H31","COs"
1209,1209,25,17,33,"C25Cl17H33","COs"
1210,1210,26,17,35,"C26Cl17H35","COs"
1211,1211,27,17,37,"C27Cl17H37","COs"
1212,1212,28,17,39,"C28Cl17H39","COs"
1213,1213,29,17,41,"C29Cl17H41","COs"
1214,1214,30,17,43,"C30Cl17H43","COs"
1215,1215,31,17,45,"C31Cl17H45","COs"
1216,1216,32,17,47,"C32Cl17H47","COs"
1217,1217,33,17,49,"C33Cl17H49","COs"
1218,1218,34,17,51,"C34Cl17H51","COs"
1219,1219,35,17,53,"C35Cl17H53","COs"
1220,1220,36,17,55,"C36Cl17H55","COs"
1221,1221,10,18,2,"C10Cl18H2","COs"
1222,1222,11,18,4,"C11Cl18H4","COs"
1223,1223,12,18,6,"C12Cl18H6","COs"
1224,1224,13,18,8,"C13Cl18H8","COs"
1225,1225,14,18,10,"C14Cl18H10","COs"
1226,1226,15,18,12,"C15Cl18H12","COs"
1227,1227,16,18,14,"C16Cl18H14","COs"
1228,1228,17,18,16,"C17Cl18H16","COs"
1229,1229,18,18,18,"C18Cl18H18","COs"
1230,1230,19,18,20,"C19Cl18H20","COs"
1231,1231,20,18,22,"C20Cl18H22","COs"
1232,1232,21,18,24,"C21Cl18H24","COs"
1233,1233,22,18,26,"C22Cl18H26","COs"
1234,1234,23,18,28,"C23Cl18H28","COs"
1235,1235,24,18,30,"C24Cl18H30","COs"
1236,1236,25,18,32,"C25Cl18H32","COs"
1237,1237,26,18,34,"C26Cl18H34","COs"
1238,1238,27,18,36,"C27Cl18H36","COs"
1239,1239,28,18,38,"C28Cl18H38","COs"
1240,1240,29,18,40,"C29Cl18H40","COs"
1241,1241,30,18,42,"C30Cl18H42","COs"
1242,1242,31,18,44,"C31Cl18H44","COs"
1243,1243,32,18,46,"C32Cl18H46","COs"
1244,1244,33,18,48,"C33Cl18H48","COs"
1245,1245,34,18,50,"C34Cl18H50","COs"
1246,1246,35,18,52,"C35Cl18H52","COs"
1247,1247,36,18,54,"C36Cl18H54","COs"
1248,1248,10,19,1,"C10Cl19H1","COs"
1249,1249,11,19,3,"C11Cl19H3","COs"
1250,1250,12,19,5,"C12Cl19H5","COs"
1251,1251,13,19,7,"C13Cl19H7","COs"
1252,1252,14,19,9,"C14Cl19H9","COs"
1253,1253,15,19,11,"C15Cl19H11","COs"
1254,1254,16,19,13,"C16Cl19H13","COs"
1255,1255,17,19,15,"C17Cl19H15","COs"
1256,1256,18,19,17,"C18Cl19H17","COs"
1257,1257,19,19,19,"C19Cl19H19","COs"
1258,1258,20,19,21,"C20Cl19H21","COs"
1259,1259,21,19,23,"C21Cl19H23","COs"
1260,1260,22,19,25,"C22Cl19H25","COs"
1261,1261,23,19,27,"C23Cl19H27","COs"
1262,1262,24,19,29,"C24Cl19H29","COs"
1263,1263,25,19,31,"C25Cl19H31","COs"
1264,1264,26,19,33,"C26Cl19H33","COs"
1265,1265,27,19,35,"C27Cl19H35","COs"
1266,1266,28,19,37,"C28Cl19H37","COs"
1267,1267,29,19,39,"C29Cl19H39","COs"
1268,1268,30,19,41,"C30Cl19H41","COs"
1269,1269,31,19,43,"C31Cl19H43","COs"
1270,1270,32,19,45,"C32Cl19H45","COs"
1271,1271,33,19,47,"C33Cl19H47","COs"
1272,1272,34,19,49,"C34Cl19H49","COs"
1273,1273,35,19,51,"C35Cl19H51","COs"
1274,1274,36,19,53,"C36Cl19H53","COs"
1275,1275,11,20,2,"C11Cl20H2","COs"
1276,1276,12,20,4,"C12Cl20H4","COs"
1277,1277,13,20,6,"C13Cl20H6","COs"
1278,1278,14,20,8,"C14Cl20H8","COs"
1279,1279,15,20,10,"C15Cl20H10","COs"
1280,1280,16,20,12,"C16Cl20H12","COs"
1281,1281,17,20,14,"C17Cl20H14","COs"
1282,1282,18,20,16,"C18Cl20H16","COs"
1283,1283,19,20,18,"C19Cl20H18","COs"
1284,1284,20,20,20,"C20Cl20H20","COs"
1285,1285,21,20,22,"C21Cl20H22","COs"
1286,1286,22,20,24,"C22Cl20H24","COs"
1287,1287,23,20,26,"C23Cl20H26","COs"
1288,1288,24,20,28,"C24Cl20H28","COs"
1289,1289,25,20,30,"C25Cl20H30","COs"
1290,1290,26,20,32,"C26Cl20H32","COs"
1291,1291,27,20,34,"C27Cl20H34","COs"
1292,1292,28,20,36,"C28Cl20H36","COs"
1293,1293,29,20,38,"C29Cl20H38","COs"
1294,1294,30,20,40,"C30Cl20H40","COs"
1295,1295,31,20,42,"C31Cl20H42","COs"
1296,1296,32,20,44,"C32Cl20H44","COs"
1297,1297,33,20,46,"C33Cl20H46","COs"
1298,1298,34,20,48,"C34Cl20H48","COs"
1299,1299,35,20,50,"C35Cl20H50","COs"
1300,1300,36,20,52,"C36Cl20H52","COs"
1301,1301,11,21,1,"C11Cl21H1","COs"
1302,1302,12,21,3,"C12Cl21H3","COs"
1303,1303,13,21,5,"C13Cl21H5","COs"
1304,1304,14,21,7,"C14Cl21H7","COs"
1305,1305,15,21,9,"C15Cl21H9","COs"
1306,1306,16,21,11,"C16Cl21H11","COs"
1307,1307,17,21,13,"C17Cl21H13","COs"
1308,1308,18,21,15,"C18Cl21H15","COs"
1309,1309,19,21,17,"C19Cl21H17","COs"
1310,1310,20,21,19,"C20Cl21H19","COs"
1311,1311,21,21,21,"C21Cl21H21","COs"
1312,1312,22,21,23,"C22Cl21H23","COs"
1313,1313,23,21,25,"C23Cl21H25","COs"
1314,1314,24,21,27,"C24Cl21H27","COs"
1315,1315,25,21,29,"C25Cl21H29","COs"
1316,1316,26,21,31,"C26Cl21H31","COs"
1317,1317,27,21,33,"C27Cl21H33","COs"
1318,1318,28,21,35,"C28Cl21H35","COs"
1319,1319,29,21,37,"C29Cl21H37","COs"
1320,1320,30,21,39,"C30Cl21H39","COs"
1321,1321,31,21,41,"C31Cl21H41","COs"
1322,1322,32,21,43,"C32Cl21H43","COs"
1323,1323,33,21,45,"C33Cl21H45","COs"
1324,1324,34,21,47,"C34Cl21H47","COs"
1325,1325,35,21,49,"C35Cl21H49","COs"
1326,1326,36,21,51,"C36Cl21H51","COs"
1327,1327,12,22,2,"C12Cl22H2","COs"
1328,1328,13,22,4,"C13Cl22H4","COs"
1329,1329,14,22,6,"C14Cl22H6","COs"
1330,1330,15,22,8,"C15Cl22H8","COs"
1331,1331,16,22,10,"C16Cl22H10","COs"
1332,1332,17,22,12,"C17Cl22H12","COs"
1333,1333,18,22,14,"C18Cl22H14","COs"
1334,1334,19,22,16,"C19Cl22H16","COs"
1335,1335,20,22,18,"C20Cl22H18","COs"
1336,1336,21,22,20,"C21Cl22H20","COs"
1337,1337,22,22,22,"C22Cl22H22","COs"
1338,1338,23,22,24,"C23Cl22H24","COs"
1339,1339,24,22,26,"C24Cl22H26","COs"
1340,1340,25,22,28,"C25Cl22H28","COs"
1341,1341,26,22,30,"C26Cl22H30","COs"
1342,1342,27,22,32,"C27Cl22H32","COs"
1343,1343,28,22,34,"C28Cl22H34","COs"
1344,1344,29,22,36,"C29Cl22H36","COs"
1345,1345,30,22,38,"C30Cl22H38","COs"
1346,1346,31,22,40,"C31Cl22H40","COs"
1347,1347,32,22,42,"C32Cl22H42","COs"
1348,1348,33,22,44,"C33Cl22H44","COs"
1349,1349,34,22,46,"C34Cl22H46","COs"
1350,1350,35,22,48,"C35Cl22H48","COs"
1351,1351,36,22,50,"C36Cl22H50","COs"
1352,1352,12,23,1,"C12Cl23H1","COs"
1353,1353,13,23,3,"C13Cl23H3","COs"
1354,1354,14,23,5,"C14Cl23H5","COs"
1355,1355,15,23,7,"C15Cl23H7","COs"
1356,1356,16,23,9,"C16Cl23H9","COs"
1357,1357,17,23,11,"C17Cl23H11","COs"
1358,1358,18,23,13,"C18Cl23H13","COs"
1359,1359,19,23,15,"C19Cl23H15","COs"
1360,1360,20,23,17,"C20Cl23H17","COs"
1361,1361,21,23,19,"C21Cl23H19","COs"
1362,1362,22,23,21,"C22Cl23H21","COs"
1363,1363,23,23,23,"C23Cl23H23","COs"
1364,1364,24,23,25,"C24Cl23H25","COs"
1365,1365,25,23,27,"C25Cl23H27","COs"
1366,1366,26,23,29,"C26Cl23H29","COs"
1367,1367,27,23,31,"C27Cl23H31","COs"
1368,1368,28,23,33,"C28Cl23H33","COs"
1369,1369,29,23,35,"C29Cl23H35","COs"
1370,1370,30,23,37,"C30Cl23H37","COs"
1371,1371,31,23,39,"C31Cl23H39","COs"
1372,1372,32,23,41,"C32Cl23H41","COs"
1373,1373,33,23,43,"C33Cl23H43","COs"
1374,1374,34,23,45,"C34Cl23H45","COs"
1375,1375,35,23,47,"C35Cl23H47","COs"
1376,1376,36,23,49,"C36Cl23H49","COs"
1377,1377,13,24,2,"C13Cl24H2","COs"
1378,1378,14,24,4,"C14Cl24H4","COs"
1379,1379,15,24,6,"C15Cl24H6","COs"
1380,1380,16,24,8,"C16Cl24H8","COs"
1381,1381,17,24,10,"C17Cl24H10","COs"
1382,1382,18,24,12,"C18Cl24H12","COs"
1383,1383,19,24,14,"C19Cl24H14","COs"
1384,1384,20,24,16,"C20Cl24H16","COs"
1385,1385,21,24,18,"C21Cl24H18","COs"
1386,1386,22,24,20,"C22Cl24H20","COs"
1387,1387,23,24,22,"C23Cl24H22","COs"
1388,1388,24,24,24,"C24Cl24H24","COs"
1389,1389,25,24,26,"C25Cl24H26","COs"
1390,1390,26,24,28,"C26Cl24H28","COs"
1391,1391,27,24,30,"C27Cl24H30","COs"
1392,1392,28,24,32,"C28Cl24H32","COs"
1393,1393,29,24,34,"C29Cl24H34","COs"
1394,1394,30,24,36,"C30Cl24H36","COs"
1395,1395,31,24,38,"C31Cl24H38","COs"
1396,1396,32,24,40,"C32Cl24H40","COs"
1397,1397,33,24,42,"C33Cl24H42","COs"
1398,1398,34,24,44,"C34Cl24H44","COs"
1399,1399,35,24,46,"C35Cl24H46","COs"
1400,1400,36,24,48,"C36Cl24H48","COs"
1401,1401,13,25,1,"C13Cl25H1","COs"
1402,1402,14,25,3,"C14Cl25H3","COs"
1403,1403,15,25,5,"C15Cl25H5","COs"
1404,1404,16,25,7,"C16Cl25H7","COs"
1405,1405,17,25,9,"C17Cl25H9","COs"
1406,1406,18,25,11,"C18Cl25H11","COs"
1407,1407,19,25,13,"C19Cl25H13","COs"
1408,1408,20,25,15,"C20Cl25H15","COs"
1409,1409,21,25,17,"C21Cl25H17","COs"
1410,1410,22,25,19,"C22Cl25H19","COs"
1411,1411,23,25,21,"C23Cl25H21","COs"
1412,1412,24,25,23,"C24Cl25H23","COs"
1413,1413,25,25,25,"C25Cl25H25","COs"
1414,1414,26,25,27,"C26Cl25H27","COs"
1415,1415,27,25,29,"C27Cl25H29","COs"
1416,1416,28,25,31,"C28Cl25H31","COs"
1417,1417,29,25,33,"C29Cl25H33","COs"
1418,1418,30,25,35,"C30Cl25H35","COs"
1419,1419,31,25,37,"C31Cl25H37","COs"
1420,1420,32,25,39,"C32Cl25H39","COs"
1421,1421,33,25,41,"C33Cl25H41","COs"
1422,1422,34,25,43,"C34Cl25H43","COs"
1423,1423,35,25,45,"C35Cl25H45","COs"
1424,1424,36,25,47,"C36Cl25H47","COs"
1425,1425,14,26,2,"C14Cl26H2","COs"
1426,1426,15,26,4,"C15Cl26H4","COs"
1427,1427,16,26,6,"C16Cl26H6","COs"
1428,1428,17,26,8,"C17Cl26H8","COs"
1429,1429,18,26,10,"C18Cl26H10","COs"
1430,1430,19,26,12,"C19Cl26H12","COs"
1431,1431,20,26,14,"C20Cl26H14","COs"
1432,1432,21,26,16,"C21Cl26H16","COs"
1433,1433,22,26,18,"C22Cl26H18","COs"
1434,1434,23,26,20,"C23Cl26H20","COs"
1435,1435,24,26,22,"C24Cl26H22","COs"
1436,1436,25,26,24,"C25Cl26H24","COs"
1437,1437,26,26,26,"C26Cl26H26","COs"
1438,1438,27,26,28,"C27Cl26H28","COs"
1439,1439,28,26,30,"C28Cl26H30","COs"
1440,1440,29,26,32,"C29Cl26H32","COs"
1441,1441,30,26,34,"C30Cl26H34","COs"
1442,1442,31,26,36,"C31Cl26H36","COs"
1443,1443,32,26,38,"C32Cl26H38","COs"
1444,1444,33,26,40,"C33Cl26H40","COs"
1445,1445,34,26,42,"C34Cl26H42","COs"
1446,1446,35,26,44,"C35Cl26H44","COs"
1447,1447,36,26,46,"C36Cl26H46","COs"
1448,1448,14,27,1,"C14Cl27H1","COs"
1449,1449,15,27,3,"C15Cl27H3","COs"
1450,1450,16,27,5,"C16Cl27H5","COs"
1451,1451,17,27,7,"C17Cl27H7","COs"
1452,1452,18,27,9,"C18Cl27H9","COs"
1453,1453,19,27,11,"C19Cl27H11","COs"
1454,1454,20,27,13,"C20Cl27H13","COs"
1455,1455,21,27,15,"C21Cl27H15","COs"
1456,1456,22,27,17,"C22Cl27H17","COs"
1457,1457,23,27,19,"C23Cl27H19","COs"
1458,1458,24,27,21,"C24Cl27H21","COs"
1459,1459,25,27,23,"C25Cl27H23","COs"
1460,1460,26,27,25,"C26Cl27H25","COs"
1461,1461,27,27,27,"C27Cl27H27","COs"
1462,1462,28,27,29,"C28Cl27H29","COs"
1463,1463,29,27,31,"C29Cl27H31","COs"
1464,1464,30,27,33,"C30Cl27H33","COs"
1465,1465,31,27,35,"C31Cl27H35","COs"
1466,1466,32,27,37,"C32Cl27H37","COs"
1467,1467,33,27,39,"C33Cl27H39","COs"
1468,1468,34,27,41,"C34Cl27H41","COs"
1469,1469,35,27,43,"C35Cl27H43","COs"
1470,1470,36,27,45,"C36Cl27H45","COs"
1471,1471,15,28,2,"C15Cl28H2","COs"
1472,1472,16,28,4,"C16Cl28H4","COs"
1473,1473,17,28,6,"C17Cl28H6","COs"
1474,1474,18,28,8,"C18Cl28H8","COs"
1475,1475,19,28,10,"C19Cl28H10","COs"
1476,1476,20,28,12,"C20Cl28H12","COs"
1477,1477,21,28,14,"C21Cl28H14","COs"
1478,1478,22,28,16,"C22Cl28H16","COs"
1479,1479,23,28,18,"C23Cl28H18","COs"
1480,1480,24,28,20,"C24Cl28H20","COs"
1481,1481,25,28,22,"C25Cl28H22","COs"
1482,1482,26,28,24,"C26Cl28H24","COs"
1483,1483,27,28,26,"C27Cl28H26","COs"
1484,1484,28,28,28,"C28Cl28H28","COs"
1485,1485,29,28,30,"C29Cl28H30","COs"
1486,1486,30,28,32,"C30Cl28H32","COs"
1487,1487,31,28,34,"C31Cl28H34","COs"
1488,1488,32,28,36,"C32Cl28H36","COs"
1489,1489,33,28,38,"C33Cl28H38","COs"
1490,1490,34,28,40,"C34Cl28H40","COs"
1491,1491,35,28,42,"C35Cl28H42","COs"
1492,1492,36,28,44,"C36Cl28H44","COs"
1493,1493,15,29,1,"C15Cl29H1","COs"
1494,1494,16,29,3,"C16Cl29H3","COs"
1495,1495,17,29,5,"C17Cl29H5","COs"
1496,1496,18,29,7,"C18Cl29H7","COs"
1497,1497,19,29,9,"C19Cl29H9","COs"
1498,1498,20,29,11,"C20Cl29H11","COs"
1499,1499,21,29,13,"C21Cl29H13","COs"
1500,1500,22,29,15,"C22Cl29H15","COs"
1501,1501,23,29,17,"C23Cl29H17","COs"
1502,1502,24,29,19,"C24Cl29H19","COs"
1503,1503,25,29,21,"C25Cl29H21","COs"
1504,1504,26,29,23,"C26Cl29H23","COs"
1505,1505,27,29,25,"C27Cl29H25","COs"
1506,1506,28,29,27,"C28Cl29H27","COs"
1507,1507,29,29,29,"C29Cl29H29","COs"
1508,1508,30,29,31,"C30Cl29H31","COs"
1509,1509,31,29,33,"C31Cl29H33","COs"
1510,1510,32,29,35,"C32Cl29H35","COs"
1511,1511,33,29,37,"C33Cl29H37","COs"
1512,1512,34,29,39,"C34Cl29H39","COs"
1513,1513,35,29,41,"C35Cl29H41","COs"
1514,1514,36,29,43,"C36Cl29H43","COs"
1515,1515,16,30,2,"C16Cl30H2","COs"
1516,1516,17,30,4,"C17Cl30H4","COs"
1517,1517,18,30,6,"C18Cl30H6","COs"
1518,1518,19,30,8,"C19Cl30H8","COs"
1519,1519,20,30,10,"C20Cl30H10","COs"
1520,1520,21,30,12,"C21Cl30H12","COs"
1521,1521,22,30,14,"C22Cl30H14","COs"
1522,1522,23,30,16,"C23Cl30H16","COs"
1523,1523,24,30,18,"C24Cl30H18","COs"
1524,1524,25,30,20,"C25Cl30H20","COs"
1525,1525,26,30,22,"C26Cl30H22","COs"
1526,1526,27,30,24,"C27Cl30H24","COs"
1527,1527,28,30,26,"C28Cl30H26","COs"
1528,1528,29,30,28,"C29Cl30H28","COs"
1529,1529,30,30,30,"C30Cl30H30","COs"
1530,1530,31,30,32,"C31Cl30H32","COs"
1531,1531,32,30,34,"C32Cl30H34","COs"
1532,1532,33,30,36,"C33Cl30H36","COs"
1533,1533,34,30,38,"C34Cl30H38","COs"
1534,1534,35,30,40,"C35Cl30H40","COs"
1535,1535,36,30,42,"C36Cl30H42","COs"
1536,1536,7,3,9,"C7Cl3H9","CdiOs"
1537,1537,8,3,11,"C8Cl3H11","CdiOs"
1538,1538,9,3,13,"C9Cl3H13","CdiOs"
1539,1539,10,3,15,"C10Cl3H15","CdiOs"
1540,1540,11,3,17,"C11Cl3H17","CdiOs"
1541,1541,12,3,19,"C12Cl3H19","CdiOs"
1542,1542,13,3,21,"C13Cl3H21","CdiOs"
1543,1543,14,3,23,"C14Cl3H23","CdiOs"
1544,1544,15,3,25,"C15Cl3H25","CdiOs"
1545,1545,16,3,27,"C16Cl3H27","CdiOs"
1546,1546,17,3,29,"C17Cl3H29","CdiOs"
1547,1547,18,3,31,"C18Cl3H31","CdiOs"
1548,1548,19,3,33,"C19Cl3H33","CdiOs"
1549,1549,20,3,35,"C20Cl3H35","CdiOs"
1550,1550,21,3,37,"C21Cl3H37","CdiOs"
1551,1551,22,3,39,"C22Cl3H39","CdiOs"
1552,1552,23,3,41,"C23Cl3H41","CdiOs"
1553,1553,24,3,43,"C24Cl3H43","CdiOs"
1554,1554,25,3,45,"C25Cl3H45","CdiOs"
1555,1555,26,3,47,"C26Cl3H47","CdiOs"
1556,1556,27,3,49,"C27Cl3H49","CdiOs"
1557,1557,28,3,51,"C28Cl3H51","CdiOs"
1558,1558,29,3,53,"C29Cl3H53","CdiOs"
1559,1559,30,3,55,"C30Cl3H55","CdiOs"
1560,1560,31,3,57,"C31Cl3H57","CdiOs"
1561,1561,32,3,59,"C32Cl3H59","CdiOs"
1562,1562,33,3,61,"C33Cl3H61","CdiOs"
1563,1563,34,3,63,"C34Cl3H63","CdiOs"
1564,1564,35,3,65,"C35Cl3H65","CdiOs"
1565,1565,36,3,67,"C36Cl3H67","CdiOs"
1566,1566,7,4,8,"C7Cl4H8","CdiOs"
1567,1567,8,4,10,"C8Cl4H10","CdiOs"
1568,1568,9,4,12,"C9Cl4H12","CdiOs"
1569,1569,10,4,14,"C10Cl4H14","CdiOs"
1570,1570,11,4,16,"C11Cl4H16","CdiOs"
1571,1571,12,4,18,"C12Cl4H18","CdiOs"
1572,1572,13,4,20,"C13Cl4H20","CdiOs"
1573,1573,14,4,22,"C14Cl4H22","CdiOs"
1574,1574,15,4,24,"C15Cl4H24","CdiOs"
1575,1575,16,4,26,"C16Cl4H26","CdiOs"
1576,1576,17,4,28,"C17Cl4H28","CdiOs"
1577,1577,18,4,30,"C18Cl4H30","CdiOs"
1578,1578,19,4,32,"C19Cl4H32","CdiOs"
1579,1579,20,4,34,"C20Cl4H34","CdiOs"
1580,1580,21,4,36,"C21Cl4H36","CdiOs"
1581,1581,22,4,38,"C22Cl4H38","CdiOs"
1582,1582,23,4,40,"C23Cl4H40","CdiOs"
1583,1583,24,4,42,"C24Cl4H42","CdiOs"
1584,1584,25,4,44,"C25Cl4H44","CdiOs"
1585,1585,26,4,46,"C26Cl4H46","CdiOs"
1586,1586,27,4,48,"C27Cl4H48","CdiOs"
1587,1587,28,4,50,"C28Cl4H50","CdiOs"
1588,1588,29,4,52,"C29Cl4H52","CdiOs"
1589,1589,30,4,54,"C30Cl4H54","CdiOs"
1590,1590,31,4,56,"C31Cl4H56","CdiOs"
1591,1591,32,4,58,"C32Cl4H58","CdiOs"
1592,1592,33,4,60,"C33Cl4H60","CdiOs"
1593,1593,34,4,62,"C34Cl4H62","CdiOs"
1594,1594,35,4,64,"C35Cl4H64","CdiOs"
1595,1595,36,4,66,"C36Cl4H66","CdiOs"
1596,1596,7,5,7,"C7Cl5H7","CdiOs"
1597,1597,8,5,9,"C8Cl5H9","CdiOs"
1598,1598,9,5,11,"C9Cl5H11","CdiOs"
1599,1599,10,5,13,"C10Cl5H13","CdiOs"
1600,1600,11,5,15,"C11Cl5H15","CdiOs"
1601,1601,12,5,17,"C12Cl5H17","CdiOs"
1602,1602,13,5,19,"C13Cl5H19","CdiOs"
1603,1603,14,5,21,"C14Cl5H21","CdiOs"
1604,1604,15,5,23,"C15Cl5H23","CdiOs"
1605,1605,16,5,25,"C16Cl5H25","CdiOs"
1606,1606,17,5,27,"C17Cl5H27","CdiOs"
1607,1607,18,5,29,"C18Cl5H29","CdiOs"
1608,1608,19,5,31,"C19Cl5H31","CdiOs"
1609,1609,20,5,33,"C20Cl5H33","CdiOs"
1610,1610,21,5,35,"C21Cl5H35","CdiOs"
1611,1611,22,5,37,"C22Cl5H37","CdiOs"
1612,1612,23,5,39,"C23Cl5H39","CdiOs"
1613,1613,24,5,41,"C24Cl5H41","CdiOs"
1614,1614,25,5,43,"C25Cl5H43","CdiOs"
1615,1615,26,5,45,"C26Cl5H45","CdiOs"
1616,1616,27,5,47,"C27Cl5H47","CdiOs"
1617,1617,28,5,49,"C28Cl5H49","CdiOs"
1618,1618,29,5,51,"C29Cl5H51","CdiOs"
1619,1619,30,5,53,"C30Cl5H53","CdiOs"
1620,1620,31,5,55,"C31Cl5H55","CdiOs"
1621,1621,32,5,57,"C32Cl5H57","CdiOs"
1622,1622,33,5,59,"C33Cl5H59","CdiOs"
1623,1623,34,5,61,"C34Cl5H61","CdiOs"
1624,1624,35,5,63,"C35Cl5H63","CdiOs"
1625,1625,36,5,65,"C36Cl5H65","CdiOs"
1626,1626,7,6,6,"C7Cl6H6","CdiOs"
1627,1627,8,6,8,"C8Cl6H8","CdiOs"
1628,1628,9,6,10,"C9Cl6H10","CdiOs"
1629,1629,10,6,12,"C10Cl6H12","CdiOs"
1630,1630,11,6,14,"C11Cl6H14","CdiOs"
1631,1631,12,6,16,"C12Cl6H16","CdiOs"
1632,1632,13,6,18,"C13Cl6H18","CdiOs"
1633,1633,14,6,20,"C14Cl6H20","CdiOs"
1634,1634,15,6,22,"C15Cl6H22","CdiOs"
1635,1635,16,6,24,"C16Cl6H24","CdiOs"
1636,1636,17,6,26,"C17Cl6H26","CdiOs"
1637,1637,18,6,28,"C18Cl6H28","CdiOs"
1638,1638,19,6,30,"C19Cl6H30","CdiOs"
