"Carbon Count / Chlorine Count","Cl3","Cl4","Cl5","Cl6","Cl7","Cl8","Cl9","Cl10","Cl11","Cl12","Cl13","Cl14","Cl15","Cl16","Cl17","Cl18","Cl19","Cl20","Cl21","Cl22","Cl23","Cl24","Cl25","Cl26","Cl27","Cl28","Cl29","Cl30"
"C16","0.3225185894173","0.389356583660378","0.444644879330958","0.491139095076483","0.530782819910266","0.564986202037109","0.594797209116954","0.621010890050331","0.644241333279545","0.664970380217708","0.683581406580995","0.700383252054547","0.71562749481219","0.729521134594365","0.742236047715736","0.753916133531645","0.76468278424738","0.774639119727836","0.783873300827674","0.792461146984298","0.800468222750842","0.807951514856865","0.814960790577388","0.821539705895669","0.827726715626402","0.83355582559531","0.839057217954183","0.84425777391231"
"C17","0.309360374251621","0.374918063012524","0.429532322619252","0.475732217853947","0.515323251751577","0.549628855569178","0.579641213466347","0.606118796001507","0.629651348465214","0.650704336251629","0.66965004407097","0.686789781709548","0.702370028492876","0.716594362703763","0.729632406307461","0.741626621326949","0.752697536688819","0.762947812738394","0.772465434202035","0.781326242107935","0.78959595900518","0.797331821967009","0.80458390922596","0.811396225465087","0.817807595481242","0.823852404566568","0.829561215428609","0.834961285018441"
"C18","0.297233738414524","0.361512100096422","0.415413287066575","0.461262558095299","0.500738746579113","0.535084296944391","0.565238404133528","0.591924212329908","0.61570756139843","0.637037553465299","0.656275181369941","0.67371392609966","0.689594834198862","0.704117727260585","0.717449653676068","0.729731342996853","0.741082192752287","0.751604162801197","0.761384846597387","0.77049991541913","0.779015080000997","0.786987677193207","0.794467962690047","0.801500171451048","0.808123393102642","0.814372298918091","0.820277748927386","0.825867301599666"
"C19","0.286021946985511","0.349031755116414","0.402192917375124","0.447647122129309","0.486957052040561","0.521289664424833","0.551533997305292","0.578379255805531","0.602367971557601","0.623933049641363","0.643424126660385","0.661126672846606","0.677276066331396","0.692068118629276","0.705667053184704","0.718211628128455","0.729819888044019","0.740592890011626","0.750617653275263","0.759969514929872","0.768714026643305","0.776908493457017","0.784603231061303","0.791842599856716","0.798665860706639","0.805107887250118","0.811199762062945","0.816969278179042"
"C20","0.275625237993332","0.337384362849065","0.389788060754208","0.434812434477042","0.47391365704922","0.508188415732325","0.538478396414214","0.565440327983141","0.589594141077644","0.611356824271485","0.631066699605054","0.649001138002971","0.665389693679882","0.680423982464779","0.694265208408808","0.70704996692957","0.718894767983927","0.729899596960696","0.740150743954327","0.749723070984183","0.758681843249861","0.767084219188948","0.774980471270318","0.782414992630965","0.789427132140891","0.796051891070311","0.802320507399788","0.808260948360729"
"C21","0.26595784583522","0.326489227803201","0.378125516212309","0.422693211382254","0.461550782061051","0.495729553401897","0.526026592387875","0.553067646414726","0.577350824845265","0.599277563991554","0.619174994717609","0.637312374382852","0.653913342953008","0.669165191037692","0.683225956585036","0.696229921423339","0.708291913337768","0.719510705930862","0.729971729556285","0.739749250871648","0.748908138683902","0.757505304892787","0.765590888199968","0.773209232610358","0.780399701064091","0.787197355722844","0.793633529728885","0.799736310112806"
"C22","0.256945629880497","0.316275751990138","0.367140589008122","0.411231250157074","0.449816523376173","0.483866961356973","0.514137645229379","0.541224836090685","0.565605645744582","0.587666382260574","0.607723170992434","0.626037200238315","0.642826158227574","0.658272927126348","0.672532272066448","0.685736044673927","0.697997272243401","0.709413401380031","0.720068893286493","0.730037317016126","0.739383050452913","0.748162672184195","0.756426107873545","0.764217580209526","0.771576400605615","0.778537632576265","0.785132650416984","0.791389611971686"
"C23","0.248524169413014","0.30668190344507","0.356775889956239","0.400374494459395","0.438664124733465","0.47255883451127","0.502774234346175","0.529878572271309","0.55432880875175","0.576496588727147","0.596687264455673","0.615154045805777","0.632108674457311","0.647729579066896","0.662168178704557","0.675553807208537","0.687997598079902","0.699595577201476","0.710431145643113","0.720577088415356","0.730097211512668","0.739047685092545","0.747478152545876","0.755432651719255","0.762950384389565","0.770066362374232","0.776811952751103","0.783215340101499"
"C24","0.240637221317147","0.297652955275824","0.346980332528772","0.390076243825324","0.428051354640731","0.4617671865265","0.491902267220881","0.51899826732195","0.543492848562662","0.565743484407307","0.586045020775785","0.604642815584904","0.621742703427696","0.637518645730072","0.652118670209864","0.665669529898707","0.67828039260185","0.690045788303303","0.701047982991639","0.711358905040318","0.72104171954168","0.730152123435313","0.738739417541695","0.746847399084394","0.754515108817623","0.761777459661518","0.768665768205154","0.775208206147263"
"C25","0.233235462403958","0.289140441081692","0.337708290754255","0.380294482134769","0.41793997195669","0.451457423511104","0.481490537779949","0.508555795354268","0.533072406253217","0.555384179365294","0.575775745473113","0.594484764499871","0.611711230751102","0.627624650346281","0.642369637655951","0.65607032264887","0.668833853825497","0.680753206100285","0.691909449379432","0.702373594932676","0.712208108474192","0.721468158092484","0.730202649699926","0.738455091045162","0.746264316514344","0.753665098205125","0.760688663561695","0.767363135825605"
"C26","0.226275456919671","0.281101284631206","0.328918888618766","0.37099130464386","0.408295265468837","0.441597973579355","0.471510427249386","0.498525249453862","0.523044031148925","0.545397430064788","0.565860169606914","0.584662386337374","0.601998322675176","0.618033062232406","0.632907803390578","0.64674402831431","0.659646828209911","0.671707577554156","0.68300610129843","0.693612443764698","0.703588322100371","0.71298832802464","0.721860927295466","0.730249295535822","0.738192020846879","0.745723697337101","0.752875428827347","0.759675258201306"
"C27","0.21971880356161","0.273497070801088","0.320575397619107","0.362132427108502","0.399085655783681","0.432159963913735","0.461935641458132","0.488882727082255","0.513386004645424","0.535763493958361","0.556280329105663","0.575159313064579","0.592589041630763","0.608730225587793","0.623720660702774","0.63767917133544","0.650708766725727","0.662899187436638","0.674328975133863","0.685067166649308","0.695174689560667","0.704705518892933","0.713707641321642","0.722223863243985","0.730292491438643","0.737947909151803","0.745221065885377","0.752139895602058"
"C28","0.213531426616553","0.266293431731634","0.312644723739104","0.353686763597349","0.390282349907656","0.423116938372474","0.452741979511317","0.479606139910958","0.504078183194081","0.526463999220691","0.547019456150697","0.56596022380892","0.583469369577911","0.599703294625578","0.614796418669403","0.628864910632072","0.642009684447704","0.654318823523202","0.665869557063076","0.676729882008564","0.68695990257764","0.696612943152188","0.705736478026973","0.714372912242223","0.722560240603258","0.730332606495864","0.73772077783352","0.74475255412755"
"C29","0.207682983589766","0.259459527500877","0.305096968737307","0.345626062035912","0.381859040558292","0.414444609825089","0.44390712954831","0.470675044902848","0.4951018580637","0.517481827816909","0.53806188123158","0.557050762435047","0.574626138322608","0.590940174391358","0.606123951669786","0.6202909963511","0.63354012334567","0.645957744455414","0.657619755192005","0.668593087327327","0.678936994283241","0.688704121500049","0.697941402609249","0.706690813611285","0.714990010631285","0.722872871694194","0.730369958959246","0.737508914712422"
"C30","0.202146367586061","0.252967604762895","0.297905053484095","0.337924588476994","0.373791643590645","0.406120642333412","0.435410487956628","0.462070493921857","0.486439629823761","0.508801010340201","0.529392944669616","0.548417462786234","0.566046966075756","0.582429466695821","0.597692753113833","0.611947730104809","0.625291117982352","0.637807650036186","0.649571873737578","0.660649636635331","0.671099319512587","0.680972865575614","0.690316643978427","0.699172177981051","0.707576761867845","0.715563985959928","0.723164185308441","0.730404824705726"
"C31","0.196897287220083","0.246792620028433","0.291044393345369","0.330558852662822","0.366058068018882","0.398124459064688","0.427232998958017","0.453774899542483","0.478075295777239","0.500406631259444","0.520998916558647","0.540047680771458","0.557720199611593","0.574160420653119","0.589492892979058","0.603825928375481","0.617254163856552","0.62986065374572","0.641718589082931","0.652892719575593","0.663440536447113","0.673413261810466","0.682856680507498","0.691811842921611","0.700315661524317","0.708401419440387","0.71609920580693","0.72343628993243"
"C32","0.191913910320219","0.240911916805511","0.284492617411362","0.323507368713051","0.358638014008055","0.390437072458713","0.419357011937803","0.445771915059182","0.469993748810653","0.492284743394165","0.512866924203448","0.531929532577782","0.549634861457329","0.566122887373634","0.581514978795628","0.595916888796022","0.609421188156674","0.622109257286863","0.634052927548816","0.645315841930308","0.655954589500489","0.666019656343526","0.675556226697378","0.684604861122458","0.693202073171931","0.701380821854935","0.709170933897398","0.716599467205039"
"C33","0.187176560403021","0.235304947825294","0.278229324813639","0.316750445803045","0.351512794946191","0.383040933698065","0.411766154269276","0.438046326972961","0.46218088633282","0.484422290585192","0.504984886249138","0.524051838373072","0.541780601610736","0.558307278409693","0.573750119757168","0.588212359046297","0.601784522713181","0.614546326987147","0.626568244739393","0.637912807487172","0.648635693350263","0.658786640918867","0.668410220688154","0.677546489302941","0.686231546869229","0.694498013684077","0.702375439657129","0.709890657255868"
"C34","0.182667457019417","0.229953035175102","0.272235872537741","0.310270004537406","0.344665180313035","0.375919798969378","0.404445217704686","0.430583958467285","0.454623528147541","0.476807037659144","0.497341452792688","0.516404070938156","0.534147653339132","0.550704527596467","0.566189893669019","0.580704508131487","0.594336878959488","0.607165071901443","0.61925820633383","0.63067770113973","0.641478318026715","0.651709039692554","0.661413812554658","0.670632177801711","0.679399809879258","0.687748977872292","0.695708942364635","0.703306298062636"
"C35","0.178370492748591","0.224839162437496","0.266495190082413","0.30404941541262","0.338079256563754","0.369058610370403","0.397380056673893","0.423371582584781","0.447309342254095","0.469427506896547","0.489925950852143","0.508976308732132","0.526726792662855","0.543306055968776","0.558826316475604","0.573385899832308","0.587071324729411","0.599959023473911","0.612116770207007","0.623604873124856","0.63447717497816","0.644781896880879","0.654562353329513","0.663857560797171","0.672702757935766","0.681129852009993","0.689167803485614","0.69684295854208"
"C36","0.174271040943691","0.219947793961408","0.260991617084419","0.298073356329702","0.331740303663132","0.362443389625213","0.390557497059591","0.416396843986052","0.44022677769685","0.462272920309719","0.4827283346426","0.501759192950774","0.519509301169798","0.536103739468372","0.551651814135147","0.566249468137893","0.579981262735928","0.592922016631251","0.605138169773235","0.616688924309109","0.627627204038912","0.638000465188053","0.647851384701429","0.657218447114741","0.666136447020924","0.674636920962649","0.682748520050907","0.69049733258814"
